CheckingAccount,Duration,CreditHistory,Purpose,CreditAmount,SavingsAccount,EmploymentSince,InstallmentRate,Gender,OtherDebtors,ResidenceSince,Property,Age,OtherInstallmentPlans,Housing,ExistingCredits,Job,Dependents,Telephone,ForeignWorker,DEFAULT
> 200,41,Delay in paying,Furniture/equipment,8375,Unknown/None,< 1,4,Male,Guarantor,4,Savings agreement/life insurance,46,No,Rent,3,Unskilled,2,1,0,0
0 - 200,53,All paid,Radio/television,14044,500 - 1000,> 7,3,Male,No,2,Car or other,18,Stores,For free,1,Highly skilled,2,0,1,1
No,33,Critical account,Education,3013,100 - 500,1 - 4,3,Male,Co-applicant,2,Car or other,21,Bank,Own,1,Highly skilled,1,1,0,1
< 0,54,Delay in paying,Education,5236,500 - 1000,Unemployed,1,Male,No,2,Unknown/None,45,Stores,Rent,1,Unskilled,2,0,1,1
No,66,Existing paid,Radio/television,1731,< 100,< 1,3,Female,Guarantor,2,Car or other,35,Bank,Rent,4,Unskilled,1,1,1,0
0 - 200,55,All paid,Repairs,3981,> 1000,Unemployed,1,Female,Co-applicant,4,Real estate,43,Stores,Own,1,Highly skilled,1,0,0,0
0 - 200,41,All paid,Furniture/equipment,17085,> 1000,Unemployed,2,Male,Guarantor,1,Real estate,57,No,Rent,2,Highly skilled,2,0,1,1
0 - 200,33,Critical account,Repairs,17516,< 100,Unemployed,2,Male,Guarantor,3,Real estate,36,Stores,Own,4,Unemployed,2,1,0,1
< 0,54,No credits/all paid,Car (used),11008,100 - 500,4 - 7,1,Male,No,3,Savings agreement/life insurance,72,Stores,Own,3,Unskilled,2,0,1,1
0 - 200,8,Existing paid,Vacation,16561,< 100,4 - 7,3,Male,Guarantor,1,Real estate,72,No,Own,2,Unskilled,2,1,1,1
< 0,32,Critical account,Car (used),8816,500 - 1000,> 7,4,Female,Co-applicant,4,Savings agreement/life insurance,74,Stores,Own,4,Unemployed,2,0,1,1
0 - 200,7,Existing paid,Others,12139,< 100,< 1,4,Female,Guarantor,3,Real estate,23,No,Own,1,Unskilled,2,0,0,0
No,13,No credits/all paid,Education,11504,< 100,1 - 4,1,Male,Guarantor,1,Car or other,18,Bank,For free,3,Unemployed,1,0,1,1
No,59,No credits/all paid,Retraining,11692,100 - 500,1 - 4,2,Female,No,4,Unknown/None,25,Stores,Own,1,Unemployed,1,1,1,1
> 200,20,Critical account,Car (new),13771,500 - 1000,1 - 4,2,Female,Co-applicant,3,Real estate,50,No,For free,2,Unskilled,1,0,1,1
No,20,No credits/all paid,Vacation,4809,Unknown/None,Unemployed,4,Male,No,2,Savings agreement/life insurance,68,No,Own,2,Skilled,2,0,0,1
> 200,37,Delay in paying,Education,16449,Unknown/None,4 - 7,1,Male,Guarantor,2,Savings agreement/life insurance,60,Stores,Rent,4,Highly skilled,1,1,0,1
No,9,All paid,Repairs,7541,> 1000,< 1,4,Male,No,4,Unknown/None,38,Bank,For free,2,Unskilled,1,0,1,0
< 0,56,Critical account,Repairs,8410,< 100,Unemployed,3,Male,No,2,Real estate,41,Stores,Rent,3,Skilled,1,0,1,1
No,69,Existing paid,Repairs,362,> 1000,4 - 7,3,Female,No,4,Car or other,42,No,Own,4,Unemployed,1,0,1,1
> 200,46,Delay in paying,Retraining,16174,100 - 500,4 - 7,1,Male,No,1,Real estate,64,Bank,Own,3,Skilled,1,0,1,1
> 200,26,Critical account,Car (used),16773,Unknown/None,< 1,1,Female,Guarantor,1,Real estate,72,Stores,Rent,1,Unskilled,1,1,0,0
0 - 200,58,No credits/all paid,Car (new),1674,< 100,< 1,3,Male,Guarantor,3,Unknown/None,74,No,Own,3,Unskilled,2,0,0,1
< 0,19,No credits/all paid,Repairs,11058,100 - 500,< 1,2,Female,Co-applicant,4,Real estate,60,Stores,Rent,3,Skilled,2,0,0,0
No,11,No credits/all paid,Business,6293,100 - 500,Unemployed,1,Male,No,3,Car or other,36,Bank,Own,2,Unskilled,2,1,1,1
0 - 200,7,No credits/all paid,Others,7239,< 100,> 7,3,Male,No,3,Savings agreement/life insurance,46,Bank,Own,1,Highly skilled,1,0,0,0
No,7,Existing paid,Vacation,6511,100 - 500,< 1,3,Female,Co-applicant,1,Unknown/None,70,Bank,For free,2,Skilled,2,0,1,0
No,59,Delay in paying,Furniture/equipment,1137,< 100,> 7,2,Female,No,3,Car or other,27,Bank,Rent,1,Unemployed,2,1,1,1
0 - 200,28,All paid,Business,16683,< 100,Unemployed,2,Female,Co-applicant,2,Savings agreement/life insurance,73,Bank,Own,1,Skilled,1,1,1,1
0 - 200,70,Existing paid,Car (new),16652,500 - 1000,> 7,2,Male,Guarantor,3,Unknown/None,29,Stores,Rent,3,Skilled,2,1,0,1
0 - 200,70,Existing paid,Retraining,12503,> 1000,1 - 4,2,Female,Co-applicant,4,Unknown/None,50,Bank,For free,2,Skilled,1,1,1,1
0 - 200,30,All paid,Car (new),8096,100 - 500,> 7,4,Female,No,2,Savings agreement/life insurance,73,Bank,Rent,3,Skilled,2,0,0,0
0 - 200,35,All paid,Furniture/equipment,6682,100 - 500,< 1,2,Female,Co-applicant,1,Savings agreement/life insurance,24,No,For free,3,Unemployed,1,1,1,1
No,53,No credits/all paid,Vacation,13702,500 - 1000,Unemployed,4,Female,Guarantor,4,Car or other,34,Bank,Rent,3,Unemployed,1,0,0,1
0 - 200,64,Existing paid,Furniture/equipment,13645,500 - 1000,< 1,1,Female,No,2,Real estate,27,No,Rent,1,Unemployed,2,1,1,1
< 0,54,Critical account,Radio/television,4015,500 - 1000,1 - 4,3,Female,Guarantor,4,Real estate,48,No,For free,2,Skilled,1,0,0,1
> 200,22,All paid,Vacation,16200,Unknown/None,< 1,4,Female,Guarantor,2,Real estate,23,No,Own,2,Highly skilled,2,1,1,1
0 - 200,24,All paid,Car (new),12752,Unknown/None,< 1,1,Female,Co-applicant,4,Real estate,34,Stores,Own,3,Highly skilled,1,1,0,1
0 - 200,8,Delay in paying,Repairs,9991,Unknown/None,< 1,1,Female,Guarantor,4,Real estate,67,Stores,Own,1,Unemployed,2,0,1,1
No,45,Critical account,Car (new),6191,< 100,4 - 7,4,Male,No,2,Car or other,54,No,Rent,2,Highly skilled,2,1,1,1
0 - 200,64,Critical account,Car (new),5105,100 - 500,1 - 4,1,Male,Guarantor,1,Unknown/None,35,Stores,Rent,4,Highly skilled,1,1,1,1
0 - 200,25,All paid,Vacation,15416,> 1000,< 1,1,Female,Guarantor,1,Car or other,43,Bank,Own,2,Highly skilled,2,1,0,0
0 - 200,24,No credits/all paid,Others,6038,< 100,< 1,4,Male,Co-applicant,4,Car or other,66,Stores,Rent,3,Highly skilled,2,0,1,0
No,4,Delay in paying,Radio/television,451,100 - 500,< 1,1,Male,Guarantor,4,Car or other,71,Bank,Rent,4,Highly skilled,2,1,1,0
0 - 200,8,Critical account,Car (new),10811,100 - 500,Unemployed,2,Female,Co-applicant,1,Unknown/None,33,Bank,Own,1,Unskilled,1,1,1,0
> 200,15,All paid,Business,17151,500 - 1000,4 - 7,2,Female,Co-applicant,1,Car or other,25,Stores,For free,4,Unemployed,1,0,0,0
No,49,Critical account,Education,7987,500 - 1000,Unemployed,3,Female,No,3,Car or other,41,Stores,Rent,4,Skilled,2,0,1,1
> 200,37,Delay in paying,Domestic appliances,2238,< 100,4 - 7,1,Female,No,1,Unknown/None,30,No,Rent,3,Highly skilled,2,1,1,1
No,52,Delay in paying,Domestic appliances,15691,500 - 1000,< 1,3,Female,No,4,Car or other,46,Stores,Rent,2,Unskilled,1,0,0,1
0 - 200,48,Existing paid,Car (new),11987,100 - 500,1 - 4,2,Female,No,2,Real estate,49,Stores,Rent,1,Skilled,1,0,1,1
> 200,30,All paid,Business,14506,500 - 1000,> 7,2,Male,Co-applicant,1,Savings agreement/life insurance,41,Stores,For free,4,Unskilled,2,0,0,0
No,29,Delay in paying,Others,7412,Unknown/None,> 7,2,Female,Guarantor,3,Car or other,33,Bank,Own,3,Highly skilled,1,1,1,1
< 0,50,Existing paid,Repairs,13315,500 - 1000,< 1,1,Male,No,3,Savings agreement/life insurance,28,Bank,Rent,2,Highly skilled,1,1,0,1
0 - 200,59,Existing paid,Retraining,14364,100 - 500,Unemployed,1,Female,No,3,Car or other,49,Bank,Own,4,Highly skilled,2,0,0,1
No,66,Critical account,Retraining,8649,< 100,1 - 4,2,Female,No,2,Car or other,23,No,Rent,3,Highly skilled,1,1,0,1
< 0,51,Critical account,Vacation,5883,> 1000,4 - 7,3,Male,Guarantor,1,Real estate,52,No,For free,3,Skilled,1,0,1,1
No,64,Existing paid,Domestic appliances,6005,500 - 1000,< 1,3,Female,No,1,Unknown/None,50,No,Own,3,Skilled,1,1,1,1
< 0,29,Critical account,Car (new),11075,100 - 500,1 - 4,4,Female,Guarantor,1,Savings agreement/life insurance,35,Bank,For free,1,Unskilled,2,0,0,1
0 - 200,39,Delay in paying,Retraining,4367,> 1000,1 - 4,2,Male,Co-applicant,2,Unknown/None,54,Stores,Rent,2,Unemployed,1,1,1,1
> 200,4,No credits/all paid,Car (new),1768,> 1000,4 - 7,3,Female,Co-applicant,2,Real estate,30,No,For free,4,Highly skilled,2,0,1,0
< 0,11,Delay in paying,Vacation,16596,Unknown/None,1 - 4,2,Male,Co-applicant,4,Real estate,27,No,For free,2,Unskilled,1,1,0,1
No,55,Existing paid,Domestic appliances,2850,> 1000,Unemployed,3,Female,Guarantor,3,Savings agreement/life insurance,54,Bank,Rent,2,Unskilled,1,1,0,0
0 - 200,50,Existing paid,Furniture/equipment,13487,100 - 500,Unemployed,4,Female,No,3,Unknown/None,43,No,Rent,4,Unskilled,2,0,0,1
< 0,59,Delay in paying,Others,3804,100 - 500,Unemployed,4,Male,No,1,Real estate,63,Stores,Own,2,Highly skilled,2,1,0,1
No,17,Critical account,Education,16443,500 - 1000,1 - 4,2,Female,No,2,Car or other,34,Bank,Rent,1,Highly skilled,2,1,1,0
No,31,Critical account,Education,15503,500 - 1000,Unemployed,3,Male,No,2,Car or other,18,Bank,Own,4,Unskilled,2,1,1,1
No,5,Existing paid,Retraining,16444,500 - 1000,4 - 7,1,Male,No,1,Car or other,42,Stores,For free,4,Highly skilled,1,1,1,0
< 0,29,All paid,Education,1992,> 1000,1 - 4,4,Male,Guarantor,1,Unknown/None,51,Stores,For free,3,Unskilled,2,1,1,1
< 0,17,Critical account,Others,1556,> 1000,> 7,2,Female,Co-applicant,4,Car or other,56,Stores,Own,2,Skilled,2,1,1,0
< 0,62,Delay in paying,Furniture/equipment,4099,Unknown/None,1 - 4,2,Female,No,3,Car or other,27,No,Rent,4,Highly skilled,2,1,1,1
> 200,59,Critical account,Others,12610,500 - 1000,4 - 7,3,Male,Co-applicant,3,Real estate,37,Stores,Rent,4,Skilled,1,1,0,1
< 0,10,Delay in paying,Car (new),13018,< 100,> 7,2,Female,Guarantor,3,Real estate,24,Bank,For free,1,Unemployed,1,0,1,1
< 0,6,Existing paid,Vacation,13282,Unknown/None,1 - 4,4,Female,Guarantor,4,Car or other,73,Stores,Own,3,Highly skilled,2,1,1,1
< 0,26,Critical account,Furniture/equipment,4445,< 100,Unemployed,2,Female,No,1,Car or other,33,Bank,For free,4,Unemployed,2,0,1,1
> 200,21,Delay in paying,Vacation,7869,> 1000,< 1,2,Male,Guarantor,1,Real estate,54,Bank,For free,1,Unskilled,2,1,0,1
< 0,41,Existing paid,Vacation,9530,Unknown/None,< 1,1,Female,Co-applicant,3,Savings agreement/life insurance,46,No,Rent,4,Highly skilled,2,0,0,1
No,18,All paid,Domestic appliances,2892,Unknown/None,Unemployed,1,Male,No,3,Unknown/None,29,Stores,Own,4,Highly skilled,1,1,1,0
< 0,67,Delay in paying,Car (new),9619,100 - 500,< 1,4,Female,No,4,Unknown/None,34,No,For free,4,Highly skilled,2,0,0,1
No,31,All paid,Business,14546,> 1000,< 1,3,Female,Co-applicant,2,Real estate,65,Stores,Rent,1,Unemployed,1,0,0,0
No,42,All paid,Education,15688,> 1000,Unemployed,1,Male,No,2,Unknown/None,37,Stores,For free,2,Unemployed,2,1,1,0
No,60,No credits/all paid,Business,15924,Unknown/None,Unemployed,3,Female,No,3,Real estate,43,Stores,For free,4,Unskilled,2,0,1,1
> 200,20,Critical account,Domestic appliances,5007,> 1000,1 - 4,4,Male,Co-applicant,4,Real estate,65,Stores,Rent,4,Skilled,1,1,1,0
> 200,47,Delay in paying,Vacation,3244,Unknown/None,1 - 4,1,Female,No,3,Real estate,36,Stores,Rent,2,Skilled,2,1,0,1
> 200,28,All paid,Retraining,15476,100 - 500,Unemployed,3,Male,No,2,Real estate,64,Bank,Own,4,Unemployed,2,0,0,0
< 0,20,No credits/all paid,Others,1521,Unknown/None,4 - 7,1,Female,Co-applicant,3,Savings agreement/life insurance,29,Bank,For free,3,Highly skilled,2,1,1,1
No,16,Existing paid,Education,2063,> 1000,< 1,4,Female,Guarantor,2,Car or other,38,Stores,Own,4,Skilled,2,0,0,1
> 200,28,Delay in paying,Education,8725,> 1000,1 - 4,4,Female,Co-applicant,2,Car or other,59,Bank,Rent,3,Skilled,1,0,0,1
> 200,71,All paid,Car (new),4646,Unknown/None,< 1,1,Male,No,2,Savings agreement/life insurance,71,No,Rent,2,Unemployed,2,1,0,1
< 0,13,Critical account,Radio/television,9533,Unknown/None,> 7,3,Male,Co-applicant,1,Unknown/None,51,No,For free,1,Unskilled,2,1,1,1
> 200,70,No credits/all paid,Car (used),13568,Unknown/None,Unemployed,2,Male,No,1,Unknown/None,24,No,Own,2,Unemployed,1,1,1,1
< 0,21,All paid,Car (used),17450,500 - 1000,4 - 7,2,Female,No,3,Car or other,62,Stores,Own,4,Unemployed,2,1,1,0
0 - 200,37,Critical account,Car (used),332,> 1000,> 7,1,Male,Co-applicant,2,Unknown/None,52,Stores,For free,3,Highly skilled,1,1,1,1
> 200,11,All paid,Radio/television,2170,> 1000,> 7,3,Male,No,1,Car or other,32,Bank,For free,1,Unemployed,2,0,1,1
0 - 200,43,Delay in paying,Car (new),8067,500 - 1000,> 7,2,Male,Guarantor,3,Car or other,18,Bank,Own,4,Highly skilled,2,0,0,0
< 0,45,Delay in paying,Radio/television,11933,Unknown/None,Unemployed,4,Male,No,3,Savings agreement/life insurance,43,Bank,Rent,1,Unskilled,2,1,0,1
No,44,Delay in paying,Car (used),11586,100 - 500,1 - 4,3,Male,Co-applicant,3,Unknown/None,52,No,Rent,1,Highly skilled,1,1,0,1
> 200,9,No credits/all paid,Domestic appliances,15846,Unknown/None,Unemployed,2,Male,Guarantor,3,Savings agreement/life insurance,42,No,For free,4,Unskilled,1,1,0,1
< 0,55,Delay in paying,Furniture/equipment,2343,Unknown/None,1 - 4,3,Male,Guarantor,3,Car or other,59,No,Own,2,Unskilled,2,0,0,1
No,29,Critical account,Vacation,13155,500 - 1000,> 7,1,Male,No,4,Car or other,32,No,Own,4,Unskilled,1,0,0,1
No,67,All paid,Radio/television,8617,> 1000,> 7,3,Male,Co-applicant,2,Car or other,39,Bank,Own,4,Unemployed,2,0,1,1
0 - 200,62,Existing paid,Car (new),5535,Unknown/None,4 - 7,2,Male,No,3,Real estate,23,Stores,Rent,2,Highly skilled,1,1,1,1
< 0,59,Critical account,Car (new),11146,> 1000,1 - 4,1,Female,No,4,Real estate,69,Stores,Rent,3,Skilled,2,1,0,1
No,62,Critical account,Business,5187,< 100,> 7,3,Female,Co-applicant,2,Real estate,32,No,Own,4,Unemployed,1,0,1,0
> 200,36,Delay in paying,Furniture/equipment,17003,> 1000,< 1,4,Male,Co-applicant,1,Savings agreement/life insurance,41,Stores,Own,1,Unskilled,2,1,0,1
> 200,56,No credits/all paid,Retraining,13227,100 - 500,4 - 7,2,Female,No,3,Car or other,38,Stores,For free,4,Skilled,1,1,0,1
0 - 200,25,All paid,Education,7924,100 - 500,Unemployed,1,Female,Guarantor,4,Unknown/None,24,Stores,For free,4,Unemployed,1,0,1,1
No,24,No credits/all paid,Car (used),17998,Unknown/None,4 - 7,3,Male,No,1,Savings agreement/life insurance,74,No,Own,1,Skilled,1,0,1,1
< 0,7,All paid,Retraining,3926,> 1000,< 1,4,Male,Guarantor,4,Savings agreement/life insurance,46,Bank,Own,2,Unskilled,1,1,0,1
> 200,65,All paid,Business,2676,Unknown/None,1 - 4,2,Male,No,2,Savings agreement/life insurance,49,Bank,Rent,3,Skilled,2,0,1,1
No,65,No credits/all paid,Car (used),3212,500 - 1000,Unemployed,4,Female,Co-applicant,2,Unknown/None,49,Stores,Own,3,Skilled,2,1,0,1
No,27,Critical account,Furniture/equipment,1109,100 - 500,Unemployed,3,Male,Guarantor,1,Car or other,70,Bank,For free,1,Unskilled,1,0,0,1
0 - 200,58,All paid,Others,12298,Unknown/None,1 - 4,3,Female,Co-applicant,4,Real estate,22,Bank,Rent,2,Skilled,2,0,0,1
> 200,12,No credits/all paid,Business,4388,500 - 1000,4 - 7,1,Male,Co-applicant,3,Car or other,21,No,For free,4,Unemployed,1,1,0,0
> 200,6,All paid,Car (used),2674,Unknown/None,> 7,4,Female,Co-applicant,3,Car or other,39,No,For free,4,Skilled,2,1,0,1
< 0,34,Existing paid,Furniture/equipment,10659,> 1000,4 - 7,1,Female,Co-applicant,1,Savings agreement/life insurance,35,Stores,Rent,4,Highly skilled,1,0,1,1
> 200,43,Critical account,Repairs,4267,> 1000,< 1,2,Male,Co-applicant,1,Savings agreement/life insurance,52,Stores,For free,4,Unemployed,2,1,0,0
< 0,39,Delay in paying,Retraining,10701,> 1000,> 7,1,Male,No,1,Savings agreement/life insurance,34,Stores,Own,4,Skilled,2,0,1,1
> 200,27,All paid,Retraining,10528,> 1000,4 - 7,2,Female,Guarantor,4,Real estate,67,No,For free,1,Highly skilled,1,1,0,1
0 - 200,9,Existing paid,Education,11246,< 100,1 - 4,3,Female,No,3,Real estate,67,Bank,Rent,4,Highly skilled,1,0,1,1
> 200,69,Delay in paying,Furniture/equipment,1384,500 - 1000,< 1,3,Male,No,3,Real estate,73,No,Rent,4,Highly skilled,1,0,0,1
