LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,DEFAULT
231141,Male,High School,Others,44,4,4,-1,0,0,0,93822,98928,57581,34172,47560,95794,37955,30767,30337,17119,36615,38992,1
136861,Female,University,Others,49,-1,2,1,-1,-1,-1,23116,33574,91272,83459,83424,74095,13885,22558,10339,8133,17475,8689,1
575386,Male,Graduate School,Others,70,4,3,2,0,4,1,4886,60702,335,16116,24474,42727,42386,20954,22058,30760,232,1565,1
542582,Male,Unknown,Married,65,4,0,0,3,2,0,12672,90566,91728,62295,41773,6305,7018,7424,38010,16037,31330,24793,1
727940,Male,Others,Others,51,2,1,-1,4,4,0,13508,64139,53202,8813,502,90509,20654,6362,2847,22205,49373,4620,0
179173,Male,Unknown,Single,57,1,4,-1,0,1,3,93204,62683,61564,97881,30117,20940,13591,22772,11659,43816,38523,25937,1
166131,Male,Unknown,Married,78,1,4,0,-1,1,3,73928,73081,92830,50313,6042,97458,8655,15839,8214,22060,935,45176,1
554991,Female,Unknown,Others,76,4,3,-1,0,1,2,36936,32708,9892,19232,29501,63006,389,4538,39430,16079,5733,17889,1
464633,Female,High School,Single,39,1,3,4,0,0,-1,45190,6787,41913,82228,89454,43146,39659,46730,44729,20861,24514,22706,0
781896,Female,Unknown,Single,43,1,2,0,0,4,4,2281,68481,46971,76920,19244,12657,16519,6644,15454,16479,7567,45277,0
724588,Male,University,Married,55,3,-1,4,2,1,3,73346,87978,24524,32609,23242,82034,35224,23778,9110,9103,34111,25372,0
668565,Male,University,Single,74,3,-1,2,2,3,2,50864,27718,64837,56499,55671,-301,18655,32557,10171,29458,43271,4956,0
438145,Male,Graduate School,Married,70,2,-1,3,0,-1,-1,94386,53000,94448,38021,83780,72101,23497,31488,33144,37156,364,39533,1
745882,Male,Graduate School,Married,26,0,2,1,-1,1,-1,98990,7421,13903,44108,98552,6109,25194,4350,15384,11498,46468,11911,0
545916,Male,Unknown,Married,26,-1,-1,2,-1,0,-1,46659,76210,91700,90814,55235,73323,9768,69,39202,20820,43749,48235,0
637943,Female,Unknown,Single,76,-1,3,4,-1,-1,1,11924,29596,51846,75363,29766,49165,28345,31174,25826,8910,32378,15696,0
211161,Female,High School,Married,57,3,0,1,-1,-1,-1,80559,53004,41435,84305,57552,24115,11117,25153,42156,43964,42210,6670,0
278662,Female,Unknown,Married,50,4,0,1,4,2,2,63966,54611,89725,3821,4010,80174,38274,7169,26246,23399,8647,32691,0
179563,Male,Unknown,Single,21,1,0,4,4,1,-1,93044,85777,70180,16797,21146,64547,9395,4084,24004,23758,26339,23473,1
149018,Female,Unknown,Married,28,2,-1,4,1,1,4,27468,61540,4520,64580,33907,9135,9913,13068,15647,7658,13616,47298,1
534898,Female,Others,Others,48,0,0,0,0,4,4,27379,72274,32436,94143,91091,19843,8785,27026,44100,43388,14840,43268,0
473054,Female,Others,Single,45,3,4,3,0,0,-1,60654,68308,1128,17070,64161,-339,11952,13138,11544,31884,45383,21345,1
306455,Female,High School,Single,53,4,-1,4,1,3,2,90465,55887,79995,4236,56900,71917,41565,8320,11102,15265,11924,25608,0
136419,Male,High School,Single,73,2,4,1,-1,4,0,56962,11365,81137,25745,54270,60753,22404,1506,22869,20065,41778,46295,0
796289,Male,University,Others,58,4,3,1,3,3,-1,53255,75334,59275,5625,93516,20958,34237,12280,29541,39958,28668,44804,0
240842,Female,High School,Married,72,2,4,2,3,2,2,15664,38855,7940,92353,12960,8614,14451,30865,34124,47467,26541,45978,1
483408,Female,University,Single,34,3,3,3,1,3,3,12633,63137,23776,18109,60030,70407,30964,34416,18150,32505,19775,35952,0
245612,Female,Unknown,Single,31,2,2,3,3,0,2,43337,14775,96281,24999,98456,65115,34074,24568,21889,11411,49887,38516,1
253095,Female,High School,Single,22,1,2,1,2,2,1,3932,66520,83541,39777,35512,89373,5332,14111,10556,43573,31211,41299,1
533111,Female,High School,Others,73,2,4,3,0,1,3,15205,98356,96238,3014,19005,48647,26263,35935,28552,32697,47564,10286,1
716658,Female,High School,Others,50,0,1,2,3,3,4,84470,37022,65257,37548,63056,78006,38565,18932,38194,15162,19990,37693,0
356336,Female,University,Others,50,2,3,0,4,0,4,50111,64886,99185,69131,12472,77615,47554,1479,36609,6035,36282,13100,0
576099,Female,University,Married,24,-1,-1,1,4,0,0,48541,65448,58571,40033,62663,14650,20367,5523,16927,22510,32647,16872,0
604360,Female,Graduate School,Married,33,2,1,-1,2,1,0,69719,36213,86101,51170,57316,86854,11918,32775,11463,46925,48354,42305,0
649695,Male,University,Others,27,4,3,1,0,0,2,84787,57648,83240,38060,68443,12854,42008,16603,44623,6128,21045,41750,0
260440,Female,University,Married,58,3,-1,1,2,2,2,19744,9715,38718,66096,77761,66672,18119,8916,30560,26841,15886,23649,1
52974,Male,Others,Others,23,-1,3,0,0,2,-1,1053,32059,8968,57235,88667,69599,19743,46757,14410,38746,25395,44476,0
685216,Male,High School,Married,29,3,3,4,0,4,-1,7359,90324,79634,75860,10603,53603,8876,6917,22431,14817,40924,45148,1
505162,Female,University,Married,34,4,-1,4,3,-1,4,33934,55902,73426,91001,41251,89617,6327,2049,16351,20444,34482,26410,0
616271,Female,High School,Others,72,0,3,-1,4,1,1,39874,80314,65157,94285,93425,88217,47354,36553,34388,48543,515,38045,0
317967,Male,High School,Single,31,1,3,-1,1,0,-1,63737,14223,58931,24822,-837,15590,26914,7657,37080,2984,47521,23106,1
371007,Male,Others,Single,57,0,3,-1,3,3,4,11461,32235,94193,76530,99018,43391,25524,41730,14968,19180,5220,12425,0
787494,Female,High School,Married,34,-1,2,4,-1,4,2,54424,67813,15843,81392,67998,34898,39709,49891,8723,5444,31127,28031,0
477613,Male,University,Married,39,4,0,0,2,2,2,20566,53513,90196,33985,9287,79991,28006,20679,29120,37699,42388,6433,0
226886,Female,High School,Married,28,4,3,3,-1,1,-1,44006,13641,55377,24276,53465,17238,10863,30664,40596,20310,38017,14400,1
77078,Female,Graduate School,Married,79,1,-1,-1,0,1,1,92052,53455,23875,42039,57144,53730,33072,20505,48134,3808,44550,7941,0
602239,Male,Graduate School,Married,27,2,4,3,3,2,4,57641,51727,58888,80972,59109,37032,2397,42977,17272,8680,40778,19653,1
153977,Female,Others,Married,79,-1,3,2,-1,-1,2,99949,10391,80234,1987,5227,17044,15698,32093,28632,46487,24515,19983,0
523994,Male,University,Others,79,1,2,0,-1,1,4,45064,87512,25006,7330,83580,91693,22451,31682,49544,40079,12322,49854,0
113691,Female,Others,Single,27,3,2,3,4,0,1,49368,19709,23525,24973,49842,14712,35294,13642,42581,23327,6142,46016,1
228171,Female,Graduate School,Single,76,1,4,4,-1,3,2,96005,32832,51604,63558,30790,3979,46544,49661,36225,26834,30873,16260,1
706315,Male,University,Others,75,3,3,4,4,3,4,69163,36656,88232,17521,32001,73012,39927,18379,29842,19097,11665,22040,1
213251,Male,High School,Others,23,3,1,-1,4,2,1,10191,10655,95846,98131,33644,98022,12417,33782,2363,25826,19519,34041,1
582723,Female,University,Single,23,4,4,-1,0,1,1,98509,12111,91500,74811,40921,60332,32954,19485,31173,6118,38646,538,1
283390,Female,Unknown,Single,38,1,0,3,4,3,1,71239,25269,4925,89084,84290,15641,32239,17306,23738,38481,43575,44713,1
274602,Male,University,Married,65,4,-1,4,0,1,-1,81147,61275,30122,47119,46951,29711,1564,42751,27436,28536,5071,4212,0
529161,Female,High School,Single,53,4,-1,3,4,2,0,50765,63532,38199,26552,95402,83517,39581,26131,33085,14707,38710,19323,0
199579,Male,Unknown,Married,57,0,-1,2,4,-1,4,33904,17778,32756,93761,70875,41882,34677,38195,22921,25567,31720,27190,0
16028,Male,Others,Married,48,0,-1,0,0,3,1,22695,89198,23789,36603,86029,63152,26858,8212,12666,24975,9468,33253,0
244823,Male,University,Single,56,4,2,4,-1,0,4,62205,91704,15915,27940,49197,39780,41237,17448,8896,12596,21284,17770,1
129247,Female,Others,Married,36,4,0,1,2,4,1,5958,45418,1917,44965,37859,57583,31845,22395,47897,36867,4659,33551,1
324045,Male,University,Married,35,3,3,4,3,2,4,81169,64539,71421,7377,30937,47573,17866,46577,13785,26143,2962,11251,0
241324,Female,Graduate School,Others,49,4,3,2,3,4,2,1272,61660,58328,67978,3481,26870,21266,26559,27450,3817,30734,35692,1
671666,Male,Graduate School,Single,79,-1,1,4,0,-1,4,59294,37708,58602,61308,78848,87718,23362,18283,20628,26849,41854,24153,1
509612,Female,High School,Others,38,1,3,2,-1,0,0,86958,57865,9410,71938,36227,34781,46311,32758,48139,6482,12627,21996,0
284507,Female,Graduate School,Married,69,-1,0,4,2,4,2,2018,50129,93745,34961,16791,53376,42837,31683,39653,9317,2410,32155,1
679426,Male,Unknown,Married,66,0,3,2,1,0,2,77496,41434,12574,95679,-793,20001,47377,36311,43469,22284,49331,29085,0
73804,Male,Unknown,Others,66,-1,2,-1,0,3,1,66751,73858,96057,3928,36138,78601,12652,46387,31903,36091,588,8061,1
124433,Male,University,Others,39,2,4,3,1,1,3,99461,24977,61115,8604,88070,94208,13789,27082,4006,40414,18429,40057,0
58544,Female,Others,Others,49,2,3,4,3,2,0,82716,58319,93597,47029,8944,-113,49088,25089,12002,11691,22238,36300,1
10189,Female,Unknown,Married,26,0,-1,0,3,0,2,18628,77759,38332,92300,97205,88201,12755,36342,27600,1565,35993,24408,1
261768,Female,University,Single,65,-1,-1,-1,2,3,3,80406,78702,58453,12777,73223,65280,42608,27691,45750,41878,30740,37292,0
17482,Male,Others,Married,70,1,4,2,2,-1,3,56198,82670,29805,39364,16285,88156,34692,40,47670,21003,11228,18188,0
790788,Male,Graduate School,Others,78,0,-1,0,1,0,2,-704,97305,13826,51068,96818,18820,30667,39749,47369,15850,37532,22779,0
493304,Male,University,Single,67,2,-1,-1,3,-1,1,99231,73872,29779,24591,43558,20547,2698,49414,21026,40135,39855,25674,0
535087,Male,Others,Others,75,0,2,1,2,2,-1,13578,25214,34292,69073,25782,66240,44759,46373,13950,4119,20437,24687,0
655979,Male,High School,Married,47,-1,2,4,2,3,2,12554,40108,11607,60478,88003,56554,47929,40913,29763,47866,4464,24214,0
413150,Female,High School,Single,27,-1,2,4,3,-1,1,20585,30667,58443,55203,82669,68600,43868,41992,24584,18038,35474,969,1
329702,Male,Unknown,Single,47,-1,3,2,3,1,0,33225,19631,44712,30905,56803,50108,26807,34587,48284,42573,46157,18017,0
331367,Female,Others,Married,39,3,4,-1,-1,4,1,2546,88652,44883,3261,3489,9718,15253,15358,20038,48562,12158,41319,1
749980,Male,High School,Others,37,-1,-1,-1,4,-1,3,45622,31421,100,33703,8108,49854,14135,49279,47567,241,7166,21246,0
313700,Male,Unknown,Others,61,4,1,2,2,-1,0,26703,21419,7310,56193,63430,3214,26604,18962,42283,4332,21622,33686,1
413125,Male,University,Others,31,2,4,1,1,3,0,2664,42313,42728,90580,71118,89597,16655,30659,38207,35837,12646,16551,0
101467,Male,University,Married,25,2,1,4,0,3,-1,90701,66579,37069,36306,80274,58500,40519,31363,43256,41253,20310,19705,0
625692,Male,Others,Others,22,3,-1,3,0,0,-1,30099,702,88737,68962,7030,76038,35011,12812,49148,48475,34408,28479,1
53558,Female,Others,Single,67,2,0,1,3,4,2,81015,37715,46740,61432,60603,41026,15117,22235,35371,13398,18034,26836,1
744742,Male,Others,Others,76,2,4,2,4,-1,1,52084,42889,8233,358,20118,96673,19336,16376,5747,37073,14367,15802,0
228865,Female,Others,Others,32,0,3,3,1,-1,2,41319,11762,-504,77959,10593,9007,16714,48906,36301,25363,26981,11031,0
431229,Female,High School,Single,62,-1,1,-1,-1,3,-1,5140,33155,94979,33537,85585,47916,38639,29428,23949,18660,8253,21521,0
113018,Female,High School,Single,62,4,4,1,2,1,3,49891,12382,3174,26337,66730,38305,10859,24321,41352,45465,46176,21358,1
163947,Female,Unknown,Others,72,4,4,1,-1,3,-1,82272,90775,56402,62247,81879,27205,10738,9085,2966,44274,11641,25333,1
231325,Male,High School,Single,31,0,2,4,1,1,1,64007,91192,70066,90301,28439,48349,11663,2806,29240,47873,21999,46429,1
545696,Male,University,Married,30,4,0,4,-1,4,3,21141,28852,14098,45493,43592,39399,40332,35047,44088,12745,22113,37551,0
45607,Male,Unknown,Single,48,0,2,3,3,3,2,49694,47843,55121,16576,45261,96400,1827,23460,30911,35369,12739,37261,0
71684,Male,High School,Married,27,4,0,-1,0,4,2,20628,53978,92650,34584,45652,26947,10027,38455,43526,10023,36054,44777,1
439497,Male,Others,Single,34,2,0,1,3,2,-1,26243,31130,33421,38035,3538,44275,31843,45143,7571,14216,15443,1973,0
547889,Female,High School,Married,33,1,3,3,2,-1,-1,62747,9188,39014,92733,19442,3963,24333,30259,19391,24961,14741,10900,0
658882,Male,Graduate School,Married,25,-1,4,1,3,4,4,81750,27268,45828,22409,3842,46197,45916,21116,49074,30107,15341,49249,0
797567,Male,Unknown,Others,71,1,2,4,1,1,2,82525,92342,95070,3856,90978,21680,7184,10440,39974,49679,34460,19460,0
688101,Female,High School,Single,62,2,2,-1,1,2,2,85565,46898,45567,94980,49951,58916,24256,48515,41152,34179,23658,26495,1
546201,Male,High School,Single,28,3,1,-1,2,1,0,64198,45618,81163,86137,39338,89022,48339,43368,41286,20581,15848,2206,1
20101,Male,University,Single,70,0,4,0,2,0,1,43770,24826,17639,81962,40464,95974,44896,49131,31202,16773,16740,86,1
159703,Female,Others,Married,21,4,-1,3,0,0,0,6937,30995,71535,86163,81639,20246,18557,2179,36888,9417,14466,9958,0
737444,Male,Others,Others,25,4,-1,4,-1,-1,0,55004,3462,90786,40185,4773,61885,30517,41136,20581,20022,16979,11383,0
637108,Female,University,Single,31,2,1,4,0,2,2,94239,95008,38511,74706,95277,2341,36477,35891,45272,3792,18008,39083,1
440086,Female,University,Others,72,4,0,4,3,2,4,44618,33804,67228,71291,57218,6747,129,5665,37605,17224,14260,3677,1
714345,Male,Graduate School,Others,63,2,1,2,-1,0,1,81141,87325,5073,87387,34646,72984,16016,40981,4025,42337,15288,25257,1
430431,Female,Unknown,Married,68,1,1,1,2,-1,2,52103,22173,67783,35745,44337,75476,1558,49804,37025,30451,37734,14570,1
794669,Male,Others,Single,30,3,2,-1,1,4,0,89642,48689,87541,28712,14586,99866,10453,3390,47390,234,26606,7645,0
596398,Male,University,Others,35,0,1,1,3,0,0,5493,95271,82535,11023,94651,80132,19584,8359,41845,49265,11364,45176,0
768175,Male,University,Single,59,4,0,1,0,2,2,97038,58496,-981,99187,81928,62409,13835,25637,3953,15317,42791,12784,0
29215,Female,Unknown,Single,67,3,-1,2,4,1,-1,96871,7982,48372,61919,42293,29627,36492,9064,18678,22463,3953,27045,0
756478,Female,University,Single,49,3,3,-1,4,2,-1,24957,94434,13160,-460,43180,82587,44088,1781,6317,3138,24444,8326,1
679384,Female,Graduate School,Others,45,3,4,0,2,-1,2,3117,71399,46378,7837,87153,87234,4693,7083,36235,17192,27877,28986,0
86949,Female,Unknown,Married,68,-1,1,4,-1,2,3,98057,17332,19155,20185,75918,70949,48401,25972,17416,5159,38998,38980,0
710843,Female,Graduate School,Married,26,3,4,3,4,3,3,11501,78525,39089,63889,57039,83568,25190,25207,1471,49562,2570,10437,1
762932,Female,High School,Others,31,2,1,1,-1,2,-1,188,20488,39344,22406,43807,70270,32605,17985,5113,28662,32391,39728,0
219229,Female,Others,Single,37,-1,4,2,1,3,1,46243,85063,31398,60630,26740,40596,21646,19265,31507,38452,16476,28682,1
413727,Female,University,Single,35,-1,2,2,2,0,4,31113,77483,56594,48054,5772,29786,45478,34631,7739,42020,10392,13156,1
656186,Female,Unknown,Married,36,3,2,3,2,4,0,55639,90547,60651,49840,96257,82499,26957,33489,1148,66,32166,27777,1
675918,Female,Graduate School,Others,76,4,4,3,3,3,1,65332,43209,47605,8046,38358,22999,16324,7242,24616,6546,12641,25310,0
500987,Female,Others,Others,22,4,1,-1,3,2,-1,79372,18232,63174,97708,13647,15518,49839,32389,22864,13985,25454,19855,0
534814,Male,Others,Married,56,4,1,1,-1,4,2,69681,97009,77242,51495,15504,27407,23684,11528,20140,8187,21087,5439,1
520711,Female,University,Others,39,4,0,1,4,4,3,54829,52685,69277,39579,5460,63303,44887,40621,31045,22337,40509,36033,0
527291,Male,Others,Others,58,2,-1,3,4,2,-1,49012,95521,29323,58821,5281,28501,39175,49394,44716,12169,34664,1968,1
536041,Male,University,Married,70,4,-1,4,0,2,1,72711,15545,89980,89631,21246,34280,37010,6905,15545,46131,25558,40281,0
429464,Male,High School,Married,41,0,3,0,-1,-1,1,66050,76640,27566,94877,35499,54257,44467,4638,40176,10665,35732,39859,0
295410,Male,University,Others,31,3,-1,1,4,0,4,14451,56847,36355,75668,45733,28045,10251,37140,11602,4304,31128,13939,0
598843,Female,Graduate School,Others,61,-1,3,2,3,3,-1,51086,12347,87358,33175,27491,91355,22343,31369,11158,34778,9302,33992,0
72995,Male,Others,Married,23,0,2,4,3,1,0,47393,1634,54752,8012,84511,87767,22407,25572,13303,16000,6354,40580,0
224646,Male,Others,Married,54,4,3,3,3,3,1,81418,4101,41129,6030,43536,23432,6198,36939,47836,48305,24452,33955,0
612565,Male,Others,Single,38,0,3,1,-1,2,0,75969,86686,48891,85450,46872,54697,30949,22866,23047,34656,24958,49158,0
473593,Female,University,Others,35,-1,-1,-1,2,1,0,369,24970,8982,72464,50566,25745,49107,21953,36564,31765,30290,34876,0
636633,Male,Unknown,Others,45,4,1,3,0,1,2,13068,16893,17587,97275,24416,28443,46201,27726,3447,16752,12002,15711,1
368255,Male,University,Married,74,0,2,2,0,3,-1,40658,17703,74711,11027,5635,43917,27484,47141,8276,1762,26123,21404,1
599690,Female,Graduate School,Married,70,2,0,-1,3,3,-1,7116,92362,52074,70742,18189,33000,27880,45373,28878,17377,35686,27108,1
264799,Female,University,Single,71,2,3,3,1,3,0,42687,21489,31185,92399,61929,43332,10401,48455,11610,17571,21508,29303,1
395891,Female,Others,Single,35,3,3,3,-1,3,2,91362,57098,82877,17565,10498,94832,34385,3501,12737,49528,13387,23582,1
182805,Female,High School,Married,50,3,4,1,4,0,1,42453,35767,53478,96213,59777,58024,38848,1186,43123,2,14339,25135,1
548706,Female,Graduate School,Others,37,0,3,-1,4,-1,1,30237,59186,80323,28290,87585,91021,45002,34149,4457,49835,21420,45146,0
264494,Female,High School,Single,38,-1,1,3,2,-1,-1,4364,80912,66325,24000,49617,4653,46638,47018,11151,27765,41390,38405,0
309329,Female,Graduate School,Married,51,2,0,4,3,3,0,64626,18733,79843,49703,58200,54078,1899,12616,10422,763,19927,25021,1
51745,Female,Graduate School,Married,70,1,4,2,1,-1,2,76622,75942,-416,32125,9427,68625,15138,48541,10915,48522,43419,1308,1
758777,Female,Others,Married,63,3,-1,-1,3,3,2,75925,92703,37946,10638,48555,24194,34802,18288,48455,24841,38880,34184,1
719147,Male,University,Others,38,2,2,4,1,3,1,15855,29659,35958,82514,95057,64519,44531,44626,2639,35250,2082,18289,0
717395,Female,Others,Married,75,4,1,1,0,3,1,91920,48543,46323,53280,5570,42748,13983,26524,25606,10921,13553,44170,0
359948,Male,Others,Married,55,0,0,0,1,4,3,52634,6951,94868,90122,23988,91021,22706,12225,40455,49876,36495,30482,0
440569,Male,Others,Others,33,2,2,3,0,0,3,53278,63417,73936,56540,57881,50996,40297,29147,13698,19224,5003,23684,0
383199,Female,High School,Married,34,2,-1,0,0,2,0,111,83693,10885,61580,52401,44638,7375,44487,13681,21730,35626,7782,0
129097,Female,Graduate School,Married,79,0,2,3,-1,-1,3,97901,33006,26023,8225,38114,62144,20357,1752,13050,18807,41243,38870,1
58302,Female,Unknown,Single,56,3,4,4,1,-1,2,57251,54864,20169,24437,7408,57040,27528,26313,27235,21765,726,20062,1
656849,Female,University,Married,38,3,3,1,2,0,3,59258,92060,90277,95774,80210,79283,29223,34722,47182,26989,16720,26129,0
742339,Male,Others,Others,25,1,3,1,2,0,-1,10408,-260,77816,81268,83733,26980,49877,21655,5902,13054,19986,29716,1
425651,Male,Graduate School,Single,34,1,1,1,1,3,-1,23002,92995,13469,27353,46606,26011,36271,33305,46300,2475,30666,6030,0
592016,Female,University,Married,45,3,2,1,-1,3,4,82274,76860,80340,47531,44854,25086,44487,18774,22211,38817,38851,35770,1
797670,Male,Unknown,Others,64,3,3,-1,2,4,1,76674,30099,70561,658,32573,88469,48631,26365,20193,42024,25161,44489,0
221929,Female,Unknown,Married,77,3,1,-1,3,4,1,75963,8727,6455,24150,50968,69498,8031,48513,30294,5997,18298,35333,0
154121,Male,Others,Single,59,3,1,3,2,2,0,75432,64904,62365,12315,26385,42278,25753,9382,9785,40192,41526,2583,1
591481,Male,Unknown,Others,32,2,4,-1,-1,-1,-1,66925,25533,9497,17203,24847,65393,28661,36704,14306,6786,6226,43232,0
700944,Female,Unknown,Single,60,1,1,3,0,0,4,14360,29408,65598,37649,54383,64158,11601,17879,32222,46181,46755,10811,0
338778,Female,University,Others,73,0,-1,-1,0,2,0,92762,64305,27976,38423,6420,92841,18724,31972,15017,21722,10557,46875,0
548967,Male,University,Others,73,-1,3,-1,0,-1,0,15847,14038,59698,62617,41147,62636,10675,38984,9312,11084,4970,22235,0
306649,Female,Others,Married,48,0,3,-1,-1,2,3,46565,49799,24101,19392,12806,52434,39307,20907,26257,21418,6822,23881,0
323485,Male,Graduate School,Others,55,4,0,2,0,2,1,16456,74759,74110,5043,3257,15403,45221,3370,1924,4465,34558,3918,0
504285,Female,Others,Others,74,-1,-1,1,0,3,0,69982,48061,46481,15867,91666,53609,28099,1259,2440,4946,2881,13869,0
584662,Female,High School,Married,21,2,3,2,-1,2,0,81393,25254,20352,-643,17696,1420,29455,5826,23397,10514,5543,6511,0
196773,Female,Unknown,Others,23,4,4,-1,3,3,1,98242,25722,70602,44440,33763,10218,23484,35798,36210,30789,7130,14116,1
185931,Female,Graduate School,Others,63,1,3,-1,2,-1,1,79239,18208,28661,23829,91269,39691,49101,4695,30737,41006,14134,35981,1
399347,Female,University,Others,70,-1,0,2,-1,4,-1,82230,59640,20784,40794,69531,80986,16784,32864,17591,3661,35629,3887,0
567466,Female,High School,Others,27,3,2,4,-1,-1,1,38959,85090,27682,32958,17126,29134,36978,12765,5582,2564,14339,1222,1
422545,Female,High School,Married,29,4,2,3,1,3,3,14058,54061,9914,29408,90454,2133,29022,46077,41021,4927,31186,46078,1
460470,Male,Unknown,Married,56,2,-1,1,0,4,-1,50492,19165,38606,25279,32923,59901,19715,32705,8354,43626,26813,5746,1
244162,Female,University,Single,43,-1,1,3,4,1,4,51672,92476,33755,28467,40353,98089,27441,25290,4647,17139,41022,19491,1
379517,Male,Graduate School,Others,44,3,0,4,3,4,0,68592,18512,68603,54131,87683,64370,37739,18878,14514,48063,9205,18897,0
518690,Female,University,Married,30,4,0,1,4,2,3,77391,74000,11315,40452,79423,46054,17633,4043,49019,34220,6133,21236,1
225101,Male,Unknown,Others,70,2,3,0,1,-1,3,55849,979,7877,94127,87867,39503,48613,13586,42043,6179,18188,45646,0
228438,Female,High School,Married,75,4,4,1,3,2,-1,61313,92809,96743,67945,6202,80671,4226,5139,13539,17288,3325,14432,1
638427,Female,Unknown,Single,68,-1,3,3,0,4,0,22488,5612,22038,75855,62168,49570,22791,32630,49390,2454,36466,28014,0
110290,Male,Others,Others,32,3,4,1,4,1,-1,80308,25763,11869,25696,61835,68226,22027,49736,43575,19871,5973,16175,0
510590,Female,High School,Single,39,1,0,0,0,2,2,87652,5022,11058,62612,82960,98851,34722,47530,10985,36828,6210,4983,1
181140,Female,Unknown,Single,52,2,1,0,0,1,2,97563,58750,10017,89373,47809,44231,23361,2897,14419,22188,17261,10389,0
68951,Female,Graduate School,Single,44,-1,2,-1,2,0,-1,66192,74304,68270,26578,12341,81278,41308,40296,36554,47515,36125,20522,0
